"age","type","percent","years_till_retirement"
92,"Short Term TIPS",11.5,-27
93,"US Stocks",29.5,-28
93,"International Stocks",12.6,-28
93,"US Bonds",34.8,-28
93,"International Bonds",11.6,-28
93,"Short Term TIPS",11.5,-28
94,"US Stocks",29.5,-29
94,"International Stocks",12.6,-29
94,"US Bonds",34.8,-29
94,"International Bonds",11.6,-29
94,"Short Term TIPS",11.5,-29
95,"US Stocks",29.5,-30
95,"International Stocks",12.6,-30
95,"US Bonds",34.8,-30
95,"International Bonds",11.6,-30
95,"Short Term TIPS",11.5,-30
96,"US Stocks",29.5,-31
96,"International Stocks",12.6,-31
96,"US Bonds",34.8,-31
96,"International Bonds",11.6,-31
96,"Short Term TIPS",11.5,-31
97,"US Stocks",29.5,-32
97,"International Stocks",12.6,-32
97,"US Bonds",34.8,-32
97,"International Bonds",11.6,-32
97,"Short Term TIPS",11.5,-32
98,"US Stocks",29.5,-33
98,"International Stocks",12.6,-33
98,"US Bonds",34.8,-33
98,"International Bonds",11.6,-33
98,"Short Term TIPS",11.5,-33
99,"US Stocks",29.5,-34
99,"International Stocks",12.6,-34
99,"US Bonds",34.8,-34
99,"International Bonds",11.6,-34
99,"Short Term TIPS",11.5,-34
100,"US Stocks",29.5,-35
100,"International Stocks",12.6,-35
100,"US Bonds",34.8,-35
100,"International Bonds",11.6,-35
100,"Short Term TIPS",11.5,-35
